verb	sentence	agent	theme	recipient	informativity	order	gameID	audio_file
show	 Okay, the pirate shows a book to a soldier	pirate	book	soldier	low	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
offer	 The artist offers an apple to the sailor	artist	apple	sailor	control	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
toss	 Okay, the cowboy tosses a banana at the clown	cowboy	banana	clown	high	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
toss	 A cowboy is tossing a banana at a clown	cowboy	banana	clown	high	PO	01HN6H3RTG33PS5KE0V5A3KPJF	{af33ef68-e162-4dfc-8ae3-9ddc7698f1f3}.mp4
give	 The pirate is giving an apple to the monk	pirate	apple	monk	control	PO	01HN6H3RTG33PS5KE0V5A3KPJF	{af33ef68-e162-4dfc-8ae3-9ddc7698f1f3}.mp4
offer	 A man in a beret offers a book to a doctor	artist	book	doctor	low	PO	01HN6H3RTG33PS5KE0V5A3KPJF	{af33ef68-e162-4dfc-8ae3-9ddc7698f1f3}.mp4
show	 The waitress is offering a banana to the doctor, is showing a banana to the doctor	waitress	banana	doctor	high	PO	01HN6H3RTG33PS5KE0V5A3KPJF	{af33ef68-e162-4dfc-8ae3-9ddc7698f1f3}.mp4
sell	 The chef is selling a book to the doctor	chef	book	doctor	low	PO	01HN6H3RTG33PS5KE0V5A3KPJF	{af33ef68-e162-4dfc-8ae3-9ddc7698f1f3}.mp4
throw	 The cowboy will throw the book to the boxer	cowboy	book	boxer	low	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
toss	 The cowboy will toss the banana to the soldier	cowboy	banana	soldier	control	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
give	 The pirate will give the apple to the doctor	pirate	apple	doctor	high	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
offer	 The cowboy will offer the banana to the monk	cowboy	banana	monk	high	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
show	 The pirate will show the book to the soldier	pirate	book	soldier	low	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
sell	 The chef will sell the cake to the sailor	chef	cake	sailor	control	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
offer	 I think this is the artist offers the apple to the sailor	artist	apple	sailor	control	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
give	 The chef gives the ball to the monk	chef	ball	monk	low	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
sell	 The pirate sells the ball to the clown	pirate	ball	clown	high	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
show	 The pirate shows the book to the soldier	pirate	book	soldier	low	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
throw	 The ballerina throws the hat to the swimmer	ballerina	hat	swimmer	control	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
toss	 The cowboy tosses the banana to the clown	cowboy	banana	clown	high	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
show	 Okay, the pirate showed the book to the soldier	pirate	book	soldier	low	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
offer	 The cowboy offered the banana to the monk	cowboy	banana	monk	high	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
toss	 The cowboy tossed the banana to the soldier	cowboy	banana	soldier	control	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
throw	 The cowboy threw the gun to the doctor	cowboy	gun	doctor	high	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
give	 The pirate gave the apple to the monk	pirate	apple	monk	control	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
give	 Can you hear me? The pirate gave the apple to the monk	pirate	apple	monk	control	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
sell	 The chef sold the book to the doctor	chef	book	doctor	low	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
throw	 The cowboy threw the book to the boxer	cowboy	book	boxer	low	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
offer	 The artist offered the apple to the sailor	artist	apple	sailor	control	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
show	 The waitress showed the banana to the doctor	waitress	banana	doctor	high	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
toss	 The cowboy tossed the banana to the clown	cowboy	banana	clown	high	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
give	 The chef gave the ball to the monk	chef	ball	monk	low	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
toss	 Okay, the cowboy tossed the ball to the clown	cowboy	ball	clown	low	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
give	 Okay, the pirate gave the apple to the doctor	pirate	apple	doctor	high	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
sell	 Okay, the chef selling cake to the sailor	chef	cake	sailor	control	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
show	 Uh, waitress shows apple to a clown	waitress	apple	clown	control	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
throw	 Okay, uh, cowboy throws book to the, uh, boxer	cowboy	book	boxer	low	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
offer	 Uh, cowboy offered banana to monk	cowboy	banana	monk	high	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
throw	 Alright, it's a cowboy throwing a gun to a doctor	cowboy	gun	doctor	high	PO	01HN8YPEFV865XZSWP5D0JA3HY	a98179a3-fc43-4362-983c-88678db1698c.mp4
sell	The chef sells the cake to the sailor	chef	cake	sailor	control	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
throw	 The cowboy throws the book at the boxer	cowboy	book	boxer	low	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
offer	 The artist offers an apple to the sailor	artist	apple	sailor	control	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
show	 The waitress shows a banana to the doctor	waitress	banana	doctor	high	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
toss	 The cowboy tosses a banana at the clown	cowboy	banana	clown	high	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
give	 The chef gives the ball to the monk	chef	ball	monk	low	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
show	 Okay, the waitress shows the apple to the clown	waitress	apple	clown	control	PO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
toss	 The cowboy tosses the banana to the clown	cowboy	banana	clown	high	PO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
throw	 The ballerina throws the hat to the swimmer	ballerina	hat	swimmer	control	PO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
sell	 And the chef sells the book to the doctor	chef	book	doctor	low	PO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
offer	 And in this one, it looks like the artist is offering the doctor a book, it looks like	artist	book	doctor	low	DO	01HN9085GWDBCPS51G8M4CJBYX	29efa384-f6c7-4d34-a578-2b97ab205db8.mp4
show	 And in this one, the waitress is showing the doctor a banana	waitress	banana	doctor	high	DO	01HN9085GWDBCPS51G8M4CJBYX	29efa384-f6c7-4d34-a578-2b97ab205db8.mp4
sell	 And in this one, the chef is selling the sailor a cake	chef	cake	sailor	control	DO	01HN9085GWDBCPS51G8M4CJBYX	29efa384-f6c7-4d34-a578-2b97ab205db8.mp4
give	 The chef will give the ball to the monk	chef	ball	monk	low	PO	01HN90868NYZRNS7G1S1ZDP6KR	d6d2e573-9d6e-4321-8e53-c9d4bff24c3b.mp4
toss	 Yay! The cowboy will toss the banana to the soldier	cowboy	banana	soldier	control	PO	01HN90868NYZRNS7G1S1ZDP6KR	d6d2e573-9d6e-4321-8e53-c9d4bff24c3b.mp4
give	 The chef is giving the ball to the monk	chef	ball	monk	low	PO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
offer	 The cowboy is offering the banana to the monk	cowboy	banana	monk	high	PO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
throw	 The cowboy throws the book to the boxer	cowboy	book	boxer	low	PO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
show	 The waitress is showing the clown the apple	waitress	apple	clown	control	DO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
toss	 The cowboy is tossing the banana to the clown	cowboy	banana	clown	high	PO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
sell	 All right, um, the chef sold a book to the doctor	chef	book	doctor	low	PO	01HN90DZJ3XWJ7FWSXB1MBMYJG	848fdb39-0272-4841-8cd3-02b39e327845.mp4
throw	 The cowboy threw the book at the boxer	cowboy	book	boxer	low	PO	01HN90DZJ3XWJ7FWSXB1MBMYJG	848fdb39-0272-4841-8cd3-02b39e327845.mp4
show	 The waitress is showing a banana to the doctor	waitress	banana	doctor	high	PO	01HN91HATX8ME94BJ9EE4SFJ5B	23662076-807d-45aa-b962-690469c38c15.mp4
offer	 The artist is offering a book to the doctor	artist	book	doctor	low	PO	01HN91HATX8ME94BJ9EE4SFJ5B	23662076-807d-45aa-b962-690469c38c15.mp4
sell	 The pirate is selling a ball to the clown	pirate	ball	clown	high	PO	01HN91HATX8ME94BJ9EE4SFJ5B	23662076-807d-45aa-b962-690469c38c15.mp4
throw	 Okay, and I think I'm supposed to describe so the cowboy threw the gun to the doctor	cowboy	gun	doctor	high	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
sell	 Okay? The chef sells the cake to the sailor	chef	cake	sailor	control	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
show	 The waitress shows an apple to the clown	waitress	apple	clown	control	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
offer	 The artist offers the book to the doctor	artist	book	doctor	low	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
toss	 And the cowboy tosses the ball to the clown	cowboy	ball	clown	low	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
give	 The pirate gives an apple to the doctor	pirate	apple	doctor	high	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
offer	 The cowboy is offering the monk a banana	cowboy	banana	monk	high	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
offer	 The waitress is offering the monk a banana	cowboy	banana	monk	high	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
show	 The waitress is showing the clown an apple	waitress	apple	clown	control	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
toss	 The cowboy is tossing the clown a ball	cowboy	ball	clown	low	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
give	 The chef is giving the monk a ball	chef	ball	monk	low	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
give	 The chef is giving the monk a ball	chef	ball	monk	low	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
give	 The waitress is giving the monk a ball	chef	ball	monk	low	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
sell	 The pirate is trying to sell the clown a ball	pirate	ball	clown	high	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
throw	 The ballerina is throwing a hat to the swimmer	ballerina	hat	swimmer	control	PO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
give	 The chef gives the ball to the monk, all right	chef	ball	monk	low	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
throw	 The ballerina throws the hat to the swimmer	ballerina	hat	swimmer	control	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
offer	 The artist offers the book to the doctor	artist	book	doctor	low	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
show	 The waitress shows the doctor the banana	waitress	banana	doctor	high	DO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
sell	 The pirate sells the ball to the clown	pirate	ball	clown	high	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
toss	 The cowboy tossed the ball to the clown	cowboy	ball	clown	low	PO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
show	 The waitress showed the doctor banana	waitress	banana	doctor	high	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
offer	 The boy offered an apple to the sailor	artist	apple	sailor	control	PO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
show	 The waitress shows the banana to the doctor	waitress	banana	doctor	high	PO	01HNBS2SVAY9VKSWBS74WJYD0K	8f197051-d506-4e9e-82ec-88ad74f31c22.mp4
throw	 The cowboy throws the book to the boxer	cowboy	book	boxer	low	PO	01HNBS2SVAY9VKSWBS74WJYD0K	8f197051-d506-4e9e-82ec-88ad74f31c22.mp4
sell	 The chef sells the cake to the sailor	chef	cake	sailor	control	PO	01HNBS2SVAY9VKSWBS74WJYD0K	8f197051-d506-4e9e-82ec-88ad74f31c22.mp4
offer	 The cowboy offered the monk a banana	cowboy	banana	monk	high	DO	01HNBS2WSJGRZVRJ2W9Y8M3F4E	5400890a-70cf-4b12-8006-c29820d781db.mp4
toss	 The old cowboy tossed the ball to the ugly clown	cowboy	ball	clown	low	PO	01HNBS2WSJGRZVRJ2W9Y8M3F4E	5400890a-70cf-4b12-8006-c29820d781db.mp4
show	 The one-eyed pirate tried to show a book to a gay soldier	pirate	book	soldier	low	PO	01HNBS2WSJGRZVRJ2W9Y8M3F4E	5400890a-70cf-4b12-8006-c29820d781db.mp4
offer	 The cowboy offered banana to the monk	cowboy	banana	monk	high	PO	01HNBS38DH1VJ8W9H090SZQ11F	{7cd15a3c-fd19-4cfa-8f90-a0dc256b35a2}.mp4
give	 Okay, the pirate gave the monk an apple	pirate	apple	monk	control	DO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
offer	 The artist offers the sailor an apple	artist	apple	sailor	control	DO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
sell	 The pirate sells a ball to the clown	pirate	ball	clown	high	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
toss	 The cowboy tosses the ball to the clown	cowboy	ball	clown	low	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
show	 The waitress is showing the banana to the doctor	waitress	banana	doctor	high	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
throw	 The cowboy throws the book to the boxer	cowboy	book	boxer	low	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
sell	 The chef sold a cake to the sailor	chef	cake	sailor	control	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
throw	 The cowboy throws a book at the boxer	cowboy	book	boxer	low	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
