verb	sentence	agent	theme	recipient	informativity	order	gameID	audio_file
toss	The cowboy tossed the banana to the soldier.	cowboy	banana	soldier	control	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
throw	The cowboy threw the gun to the doctor.	cowboy	gun	doctor	high	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
give	The pirate gave the apple to the monk.	pirate	apple	monk	control	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
give	The pirate gave the apple to the monk.	pirate	apple	monk	control	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
sell	The chef sold the book to the doctor.	chef	book	doctor	low	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
sell	The chef sold the cake to the salesman.	chef	cake	sailor	control	DO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
throw	The cowboy threw the book to the boxer.	cowboy	book	boxer	low	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
offer	The artist offered the apple to the sailor.	artist	apple	sailor	control	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
show	The waitress showed the banana to the doctor.	waitress	banana	doctor	high	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
toss	The cowboy tossed the banana to the clown.	cowboy	banana	clown	high	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
give	The chef gave the ball to the monk.	chef	ball	monk	low	PO	01HN6HARA7PSTWVSAXRN0V7Y20	6fde4fd9-8643-4044-b6ff-804ae88dd9aa.mp4
toss	Hello? Hello? Okay. Okay, yeah. Okay, the cowboy tossed the ball to the clown. Okay,	cowboy	ball	clown	low	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
give	the chef's hat was burning. Okay, the pirate gave the apple to the doctor. Give.	pirate	apple	doctor	high	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
show	the palette. Palette. Yeah, yeah, that one got me. Uh, waitress shows apple to a clown.	waitress	apple	clown	control	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
throw	Okay, uh, cowboy throws book to the, uh, boxer. Yeah. Chef laughs at burglar.	cowboy	book	boxer	low	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
offer	Uh, chef cut cake. Nice. Uh, cowboy offered banana to monk. Okay. Oh, wow. Yay.	cowboy	banana	monk	high	PO	01HN6HAV6HAZVME5JMHKBF3ZEN	{cf20a282-32c4-4106-8890-7567aed044b2}.mp4
sell	The chef sells the cake to the sailor.	chef	cake	sailor	control	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
throw	The cowboy throws the book at the boxer.	cowboy	book	boxer	low	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
offer	The artist offers an apple to the sailor.	artist	apple	sailor	control	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
show	The waitress shows a banana to the doctor.	waitress	banana	doctor	high	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
toss	The cowboy tosses a banana at the clown.	cowboy	banana	clown	high	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
give	The chef gives the ball to the monk.	chef	ball	monk	low	PO	01HN908023TPGC6MNFRW5V7B9P	bbb7d2c3-7dcf-4cfe-bb13-d512480da671.mp4
give	Hello? Are you there? Okay, I'm gonna hit continue. Okay. Okay, the chef gives the ball	chef	ball	monk	low	DO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
show	Okay. I think it's just slow, probably. Me either. Okay, the waitress shows the apple	waitress	apple	clown	control	DO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
offer	cowboy tosses the banana to the clown. Okay. The cowboy offers the banana to the priest.	cowboy	banana	monk	high	DO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
toss	cowboy tosses the banana to the clown. Okay. The cowboy offers the banana to the priest.	cowboy	banana	clown	high	PO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
throw	The ballerina washes the gun. The artist examines the palette. The ballerina throws the hat to the	ballerina	hat	swimmer	control	DO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
sell	soldier. And the chef sells the book to the doctor. All right. Cool. Thank you. Oh, we got	chef	book	doctor	low	PO	01HN9081CTYEKFBPPTNS235HV2	2b793d45-4a87-4537-a420-ce99b355d534.mp4
give	Hopefully we just have to give it a second like last time.	pirate	apple	monk	control	DO	01HN9085GWDBCPS51G8M4CJBYX	29efa384-f6c7-4d34-a578-2b97ab205db8.mp4
give	Oh yeah, it just gave me the same thing.	pirate	apple	monk	control	DO	01HN9085GWDBCPS51G8M4CJBYX	29efa384-f6c7-4d34-a578-2b97ab205db8.mp4
give	if he doesn't give us full reimbursement.	pirate	apple	monk	control	DO	01HN9085GWDBCPS51G8M4CJBYX	29efa384-f6c7-4d34-a578-2b97ab205db8.mp4
give	The chef will give the ball to the monk. Yay!	chef	ball	monk	low	PO	01HN90868NYZRNS7G1S1ZDP6KR	d6d2e573-9d6e-4321-8e53-c9d4bff24c3b.mp4
give	The artist will give the doctor a book. Yeah, alright, good. Offer. Oh, offer. Okay, it was offer. Oops.	chef	ball	monk	low	DO	01HN90868NYZRNS7G1S1ZDP6KR	d6d2e573-9d6e-4321-8e53-c9d4bff24c3b.mp4
toss	The cowboy will toss the banana to the soldier. Ding ding! Yay!	cowboy	banana	soldier	control	PO	01HN90868NYZRNS7G1S1ZDP6KR	d6d2e573-9d6e-4321-8e53-c9d4bff24c3b.mp4
sell	The chef would sell the cake.	chef	cake	sailor	control	DO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
throw	The cowboy throws the book to the boxer.	cowboy	book	boxer	low	PO	01HN9086WNF52994Z9BABWK6EG	f74c4565-1681-4f4d-9845-ad8d7f1296b0.mp4
sell	All right, um, the chef sold a book to the doctor.	chef	book	doctor	low	PO	01HN90DZJ3XWJ7FWSXB1MBMYJG	848fdb39-0272-4841-8cd3-02b39e327845.mp4
toss	Um, next is the cowboy tossed a banana to the hipster.	cowboy	banana	soldier	control	DO	01HN90DZJ3XWJ7FWSXB1MBMYJG	848fdb39-0272-4841-8cd3-02b39e327845.mp4
throw	The cowboy threw the book at the boxer.	cowboy	book	boxer	low	PO	01HN90DZJ3XWJ7FWSXB1MBMYJG	848fdb39-0272-4841-8cd3-02b39e327845.mp4
sell	so the cowboy threw the gun to the doctor. Okay? The chef sells the cake to the sailor.	chef	cake	sailor	control	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
throw	so the cowboy threw the gun to the doctor. Okay? The chef sells the cake to the sailor.	cowboy	gun	doctor	high	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
show	The chef laughs at the burglar. The waitress catches the doctor. The waitress shows an	waitress	apple	clown	control	DO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
offer	bites the apple. It's just moving slow. The artist offers the book to the doctor. And	artist	book	doctor	low	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
toss	the cowboy tosses the ball to the clown. And the artist examines the palette. The pirate	cowboy	ball	clown	low	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
give	gives an apple to the doctor. And the artist reaches for the cup. Okay. Oh, no, there's	pirate	apple	doctor	high	PO	01HN91HBWDWZQTGM4CQBSBEKJW	e4d4baac-a421-49ac-88a6-de3496173a8e.mp4
toss	Hello, hello, cowboy toss the ball to the clown.	cowboy	book	soldier	low	DO	01HN91HEH8FED7DJX7696HTSH9	2f37eb1f-13f1-4fee-bee6-8cb3b987ab4f.mp4
toss	Cowboy toss the ball to the clown.	cowboy	book	soldier	low	DO	01HN91HEH8FED7DJX7696HTSH9	2f37eb1f-13f1-4fee-bee6-8cb3b987ab4f.mp4
show	It shows it in a different	waitress	banana	doctor	high	DO	01HN91HGGMPQAACGYGC4MM96Q2	0fa39adf-4388-40a6-a8d4-3b18fca707dd.mp4
sell	The pirate is trying to sell the clown a ball.	pirate	ball	clown	high	DO	01HN91HHVZ3CKVKPJ3T5KY7KZ5	e53088e8-7c04-435e-b146-c268e256b887.mp4
give	The chef gives the ball to the monk, all right.	chef	ball	monk	low	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
throw	All right, um, the cowboy throws the banana to the soldier.	ballerina	hat	swimmer	control	DO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
throw	The ballerina throws the hat to the swimmer.	ballerina	hat	swimmer	control	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
toss	Oh, it's toss whoops.	cowboy	banana	soldier	control	DO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
offer	The artist offers the book to the doctor.	artist	book	doctor	low	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
show	The waitress shows the doctor the banana.	waitress	banana	doctor	high	DO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
sell	The pirate sells the ball to the clown.	pirate	ball	clown	high	PO	01HN91VB5BVR1ERB55KPEE9ZC0	904f1088-c503-44d1-87dc-8d445fb11879.mp4
give	Hello, the waitress washed the gun. The chef gave the mung to the boy.	chef	ball	monk	low	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
give	New studies available on Prolific. The chef gave the ball to the mung.	chef	ball	monk	low	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
give	The cowboy gave the ball to the clown. The cowboy tossed the ball to the clown.	chef	ball	monk	low	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
give	The cowboy gave the gun to the doctor. The pirate smiled to the mung.	chef	ball	monk	low	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
give	The waitress ran to the soldier. The chef gave the sailor a cake.	chef	ball	monk	low	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
toss	The cowboy gave the ball to the clown. The cowboy tossed the ball to the clown.	cowboy	ball	clown	low	PO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
show	The waitress caught the doctor. The waitress showed the doctor banana.	waitress	banana	doctor	high	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
offer	The chef laughed at the sailor. The boy offered an apple to the sailor.	artist	apple	sailor	control	DO	01HN91VHM2PZ1BVF8MNSTXR2JR	76f639e0-4192-4e72-a7ac-d6f3b20d8d30.mp4
